"","Site","Date","Waypoint","Species","Height","N.flowers","Time","NN","NN.id","dist.lar","LT","AS","EC","SD","SM","SC","PP","HH","EL","LOTUS","BW","uniID","Quantity","density","shrub.density","cactus.density","con.density","het.density","site.density","site.shrub.density","site.cactus.density","S","S"
"266","","5.8.2018","362","BW",36,8,"10:15",250,"SC",170,0,0,0,0,0,1,0,0,0,0,0,"BW 362",0,1,0,1,0,0,0.0275,0.026,0.0015,1,2
"267","","5.8.2018","365","BW",46,13,"10:44",235,"LT",68,1,0,0,0,0,0,0,0,0,0,0,"BW 365",4,1,1,0,0,1,0.0275,0.026,0.0015,1,2
"268","","5.8.2018","366","LT",225,175,"10:59",130,"LT",24,0,0,0,0,0,1,0,0,0,0,5,"LT 366",5,6,5,1,0,5,0.0275,0.026,0.0015,2,4
"269","","5.8.2018","367","BW",54,19,"11:16",25,"SC",129,0,0,0,0,0,0,0,0,0,0,6,"BW 367",3,6,6,0,6,0,0.0275,0.026,0.0015,1,3
"270","","5.8.2018","369","AS",69,81,"11:31",105,"LT",8,1,1,0,0,0,0,0,0,0,0,1,"AS 369",2,3,3,0,1,2,0.0275,0.026,0.0015,3,3
"271","","5.8.2018","370","LT",270,301,"11:44",105,"AS",32,2,2,0,0,0,0,0,0,0,0,0,"LT 370",2,4,4,0,2,2,0.0275,0.026,0.0015,2,2
"272","","5.8.2018","371","AS",59,35,"12:04",95,"AS",69,1,1,0,0,0,0,0,0,0,0,0,"AS 371",3,2,2,0,1,1,0.0275,0.026,0.0015,2,2
"273","","5.8.2018","372","AS",56,63,"12:04",95,"AS",39,1,1,0,0,0,0,0,0,0,0,0,"AS 372",3,2,2,0,1,1,0.0275,0.026,0.0015,2,2
"274","","5.8.2018","373","LT",135,87,"12:48",155,"AS",150,0,1,0,0,0,0,0,0,0,0,0,"LT 373",0,1,1,0,0,1,0.0275,0.026,0.0015,1,1
"275","","5.8.2018","375","BW",53,20,"1:24",340,"LT",110,0,0,0,0,0,0,0,0,0,0,0,"BW 375",6,0,0,0,0,0,0.0275,0.026,0.0015,0,2
"276","","5.8.2018","376","EC",55,20,"1:36",290,"LT",90,1,0,0,0,0,0,0,0,0,0,0,"EC 376",1,1,1,0,0,1,0.0275,0.026,0.0015,1,2
"277","","5.8.2018","377","LT",177,122,"1:49",140,"LT",28,1,0,1,0,0,0,0,0,0,0,0,"LT 377",1,2,2,0,1,1,0.0275,0.026,0.0015,2,3
"278","","5.8.2018","378","BW",42,16,"2:12",110,"LT",10,1,0,0,0,0,0,0,0,0,0,2,"BW 378",4,3,3,0,2,1,0.0275,0.026,0.0015,2,3
"279","","5.8.2018","379","BW",54,27,"2:32",265,"LT",81,1,0,0,0,0,0,0,0,0,0,1,"BW 379",2,2,2,0,1,1,0.0275,0.026,0.0015,2,3
"280","","5.8.2018","380","AS",48,25,"2:51",240,"LT",69,1,0,0,0,0,0,0,0,0,0,0,"AS 380",2,1,1,0,0,1,0.0275,0.026,0.0015,1,2
"281","","5.8.2018","381","AS",56,62,"3:08",160,"AS",39,1,3,0,0,0,0,0,0,0,0,0,"AS 381",2,4,4,0,3,1,0.0275,0.026,0.0015,2,2
"282","","5.8.2018","384","LT",195,380,"3:48",0,"LT",2,1,1,0,0,0,1,0,0,0,0,0,"LT 384",5,3,2,1,1,1,0.0275,0.026,0.0015,3,3
"283","","5.9.2018","386","AS",58,31,"9:47",350,"LT",113,0,0,0,0,0,0,0,0,0,0,0,"AS 386",0,0,0,0,0,0,NA,NA,NA,0,1
"284","","5.9.2018","387","LT",155,94,"10:02",225,"AS",194,0,1,0,0,0,0,0,0,0,0,0,"LT 387",0,1,1,0,0,1,NA,NA,NA,1,1
"285","","5.9.2018","388","BW",39,3,"10:16",115,"AS",179,0,1,0,0,0,0,0,0,0,0,0,"BW 388",0,1,1,0,0,1,NA,NA,NA,1,1
"286","","5.9.2018","389","AS",40,13,"10:16",115,"BW",154,0,0,0,0,0,0,0,0,0,0,1,"AS 389",0,1,1,0,0,1,NA,NA,NA,1,2
"287","","5.9.2018","390","AS",33,31,"10:39",660,"AS",216,0,0,0,0,0,0,0,0,0,0,0,"AS 390",0,0,0,0,0,0,NA,NA,NA,0,1
"288","","5.9.2018","391","LT",220,198,"10:58",50,"LT",151,0,0,0,0,0,0,0,0,0,0,0,"LT 391",0,0,0,0,0,0,NA,NA,NA,0,1
"289","","5.9.2018","392","BW",34,5,"11:14",75,"BW",182,0,0,0,0,0,0,0,0,0,0,1,"BW 392",0,1,1,0,1,0,NA,NA,NA,1,2
"290","","5.9.2018","393","LT",210,465,"11:30",470,"BW",147,0,0,0,0,0,0,0,0,0,0,0,"LT 393",0,0,0,0,0,0,NA,NA,NA,0,1
"291","","5.9.2018","394","BW",41,6,"11:42",315,"LT",102,0,0,0,0,0,0,0,0,0,0,0,"BW 394",0,0,0,0,0,0,NA,NA,NA,0,1
"292","","5.9.2018","395","LT",62,40,"11:56",250,"BW",188,0,0,0,0,0,0,0,0,0,0,3,"LT 395",0,3,3,0,0,3,NA,NA,NA,1,2
